="",="(1)",="(2)",="(3)",="(4)"
="",="m1_Male",="m1_Female",="m2_Male",="m2_Female"
="",="b/ci95",="b/ci95",="b/ci95",="b/ci95"
="Diabetes status",="",="",="",=""
="Age (years)",="0.08*** [0.07;0.09]",="0.04*** [0.03;0.06]",="0.08*** [0.07;0.09]",="0.04*** [0.03;0.06]"
="Weight (kg)",="0.03** [0.01;0.04]",="0.03*** [0.02;0.04]",="0.03** [0.01;0.04]",="0.03*** [0.02;0.04]"
="Height (cm)",="-0.01 [-0.04;0.02]",="-0.03* [-0.06;-0.01]",="-0.01 [-0.04;0.02]",="-0.03* [-0.06;-0.01]"
="White",=" ",=" ",="0.00 [0.00;0.00]",="0.00 [0.00;0.00]"
="Black",=" ",=" ",="0.75*** [0.38;1.12]",="0.61** [0.17;1.05]"
="Other",=" ",=" ",="-0.34 [-0.93;0.24]",="-0.15 [-1.05;0.75]"
="Constant",="-7.95** [-13.05;-2.85]",="-1.72 [-5.95;2.50]",="-7.89** [-13.07;-2.72]",="-1.74 [-5.88;2.41]"
="N_sub",="4915.00",="5434.00",="4915.00",="5434.00"
="",="(1)",="(2)",="(3)",="(4)"
="",="m1_Male",="m1_Female",="m2_Male",="m2_Female"
="",="b/ci95",="b/ci95",="b/ci95",="b/ci95"
="Prior heart attack",="",="",="",=""
="Age (years)",="0.10*** [0.08;0.11]",="0.08*** [0.07;0.10]",="0.10*** [0.08;0.11]",="0.08*** [0.07;0.10]"
="Weight (kg)",="0.00 [-0.01;0.02]",="0.02*** [0.01;0.03]",="0.00 [-0.01;0.02]",="0.02** [0.01;0.04]"
="Height (cm)",="-0.01 [-0.05;0.02]",="-0.01 [-0.04;0.03]",="-0.01 [-0.05;0.02]",="-0.01 [-0.04;0.03]"
="White",=" ",=" ",="0.00 [0.00;0.00]",="0.00 [0.00;0.00]"
="Black",=" ",=" ",="-0.27 [-0.79;0.26]",="0.08 [-0.52;0.68]"
="Other",=" ",=" ",="-1.67*** [-2.27;-1.08]",="0.42 [-0.72;1.56]"
="Constant",="-6.48* [-12.30;-0.66]",="-8.79** [-14.41;-3.17]",="-5.73 [-11.67;0.22]",="-9.00** [-14.72;-3.29]"
="N_sub",="4915.00",="5434.00",="4915.00",="5434.00"
="",="(1)",="(2)",="(3)",="(4)"
="",="m1_Male",="m1_Female",="m2_Male",="m2_Female"
="",="b/ci95",="b/ci95",="b/ci95",="b/ci95"
="Diabetes status",="",="",="",=""
="White",=" ",=" ",="0.00 [0.00;0.00]",="0.00 [0.00;0.00]"
="Black",=" ",=" ",="0.75*** [0.38;1.12]",="0.61** [0.17;1.05]"
="Other",=" ",=" ",="-0.34 [-0.93;0.24]",="-0.15 [-1.05;0.75]"
="N_sub",="4915.00",="5434.00",="4915.00",="5434.00"
="",="(1)",="(2)",="(3)",="(4)"
="",="m1_Male",="m1_Female",="m2_Male",="m2_Female"
="",="b/ci95",="b/ci95",="b/ci95",="b/ci95"
="Prior heart attack",="",="",="",=""
="White",=" ",=" ",="0.00 [0.00;0.00]",="0.00 [0.00;0.00]"
="Black",=" ",=" ",="-0.27 [-0.79;0.26]",="0.08 [-0.52;0.68]"
="Other",=" ",=" ",="-1.67*** [-2.27;-1.08]",="0.42 [-0.72;1.56]"
="N_sub",="4915.00",="5434.00",="4915.00",="5434.00"
