="",="(1)"
="",="mlbpsystol"
="",="b/ci95"
="65_",=""
="Age (years)",="1.00 [1.00;1.00]"
="Body mass index (BMI)",="1.00 [1.00;1.00]"
="Age (years) # Body mass index (BMI)",="1.00 [1.00;1.00]"
="Male",="1.00 [1.00;1.00]"
="Female",="1.00 [1.00;1.00]"
="121_",=""
="Age (years)",="1.10* [1.01;1.20]"
="Body mass index (BMI)",="1.19** [1.07;1.33]"
="Age (years) # Body mass index (BMI)",="1.00 [0.99;1.00]"
="Male",="1.00 [1.00;1.00]"
="Female",="0.38*** [0.25;0.58]"
="141_",=""
="Age (years)",="1.17*** [1.09;1.25]"
="Body mass index (BMI)",="1.29*** [1.17;1.43]"
="Age (years) # Body mass index (BMI)",="1.00* [0.99;1.00]"
="Male",="1.00 [1.00;1.00]"
="Female",="0.53** [0.34;0.82]"
="N_sub",="1086.00"
="Exponentiated coefficients"
